iter	Passed	Remaining
404	7854	11540
405	7873	11519
406	7891	11498
407	7910	11477
408	7928	11456
409	7946	11435
410	7964	11414
411	7983	11394
412	8002	11373
413	8020	11353
414	8046	11342
415	8073	11334
416	8096	11320
417	8118	11304
418	8138	11285
419	8156	11263
420	8174	11242
421	8193	11222
422	8211	11201
423	8231	11182
424	8251	11164
425	8270	11143
426	8289	11123
427	8309	11104
428	8328	11084
429	8346	11063
430	8364	11042
431	8381	11020
432	8399	10998
433	8417	10977
434	8435	10956
435	8453	10935
436	8471	10914
437	8490	10894
438	8509	10874
439	8527	10853
440	8545	10832
441	8564	10811
442	8583	10792
443	8603	10773
444	8623	10755
445	8643	10735
446	8661	10715
447	8679	10694
448	8700	10676
449	8720	10657
450	8740	10639
451	8760	10621
452	8781	10603
453	8800	10583
454	8819	10563
455	8838	10543
456	8856	10523
457	8875	10503
458	8914	10507
459	8935	10488
460	8955	10470
461	8974	10450
462	8994	10431
463	9012	10410
464	9031	10390
465	9050	10371
466	9070	10352
467	9089	10332
468	9108	10313
469	9128	10293
470	9147	10274
471	9167	10254
472	9186	10235
473	9205	10215
474	9240	10212
475	9261	10195
476	9282	10177
477	9303	10159
478	9322	10140
479	9342	10121
480	9359	10099
481	9377	10077
482	9395	10057
483	9414	10036
484	9432	10016
485	9452	9996
486	9471	9976
487	9490	9957
488	9509	9936
489	9528	9917
490	9546	9896
491	9565	9876
492	9584	9856
493	9605	9839
494	9625	9820
495	9645	9800
496	9664	9781
497	9684	9761
498	9702	9741
499	9721	9721
500	9739	9700
501	9757	9680
502	9776	9660
503	9794	9638
504	9813	9618
505	9831	9598
506	9849	9577
507	9868	9557
508	9887	9537
509	9906	9518
510	9924	9497
511	9943	9477
512	9960	9455
513	9978	9434
514	9996	9413
515	10014	9393
516	10031	9371
517	10048	9350
518	10066	9329
519	10085	9309
520	10104	9289
521	10122	9269
522	10142	9250
523	10161	9230
524	10180	9210
525	10198	9190
526	10218	9171
527	10237	9151
528	10256	9131
529	10274	9110
530	10291	9089
531	10311	9070
532	10337	9057
533	10363	9043
534	10383	9025
535	10404	9007
536	10422	8986
537	10439	8965
538	10457	8944
539	10474	8922
540	10492	8902
541	10512	8883
542	10532	8864
543	10551	8845
544	10572	8826
545	10592	8808
546	10613	8789
547	10634	8771
548	10653	8751
549	10671	8731
550	10690	8711
551	10708	8690
552	10725	8669
553	10744	8649
554	10763	8630
555	10782	8610
556	10802	8591
557	10821	8572
558	10841	8552
559	10861	8533
560	10881	8515
561	10901	8496
562	10921	8477
563	10942	8458
564	10962	8440
565	10982	8420
566	11000	8400
567	11018	8380
568	11036	8359
569	11055	8339
570	11073	8320
571	11091	8299
572	11109	8278
573	11126	8257
574	11144	8237
575	11163	8217
576	11181	8197
577	11199	8176
578	11218	8156
579	11236	8136
580	11255	8116
581	11273	8096
582	11291	8076
583	11311	8057
584	11329	8037
585	11346	8016
586	11364	7995
587	11382	7975
588	11400	7954
589	11418	7934
590	11436	7914
591	11454	7894
592	11472	7874
593	11491	7854
594	11511	7835
595	11529	7815
596	11548	7795
597	11567	7776
598	11586	7756
599	11605	7736
600	11623	7716
601	11643	7697
602	11662	7678
603	11682	7659
604	11713	7647
605	11733	7628
606	11753	7609
607	11773	7590
608	11792	7571
609	11811	7551
610	11830	7531
611	11849	7512
612	11867	7492
613	11886	7472
614	11904	7452
615	11923	7432
616	11942	7413
617	11962	7394
618	11982	7375
619	12002	7356
620	12021	7336
621	12041	7317
622	12059	7297
623	12078	7278
624	12097	7258
625	12117	7239
626	12136	7220
627	12157	7201
628	12175	7181
629	12193	7161
630	12211	7141
631	12229	7121
632	12247	7100
633	12265	7080
634	12301	7070
635	12322	7052
636	12342	7033
637	12360	7013
638	12378	6993
639	12397	6973
640	12417	6954
641	12435	6934
642	12453	6914
643	12470	6893
644	12490	6874
645	12509	6855
646	12528	6835
647	12547	6816
648	12566	6796
649	12587	6777
650	12615	6763
651	12642	6747
652	12666	6730
653	12688	6713
654	12706	6692
655	12723	6672
656	12741	6651
657	12759	6631
658	12777	6611
659	12796	6592
660	12818	6574
661	12837	6554
662	12856	6534
663	12874	6514
664	12893	6495
665	12911	6475
666	12931	6456
667	12951	6436
668	12969	6417
669	12987	6396
670	13005	6376
671	13022	6356
672	13041	6336
673	13060	6317
674	13082	6298
675	13102	6279
676	13123	6261
677	13142	6241
