iter	Logloss
0	0.6805613373
1	0.6743581814
2	0.6620772457
3	0.6494190107
4	0.6414683685
5	0.6351034626
6	0.6296819912
7	0.6209614772
8	0.6127658613
9	0.607960837
10	0.6040772712
11	0.600562353
12	0.5961507416
13	0.5883806993
14	0.5821837133
15	0.5787926696
16	0.5724963382
17	0.5699164986
18	0.5675733819
19	0.56430291
20	0.5601689152
21	0.5575362698
22	0.552675962
23	0.5499684218
24	0.5475957362
25	0.5455183192
26	0.5437498738
27	0.5405948126
28	0.5364383822
29	0.5337023269
30	0.5318347202
31	0.5293257779
32	0.528069605
33	0.525980791
34	0.5247479573
35	0.5230364998
36	0.5215828057
37	0.5174360235
38	0.5134496562
39	0.5120547441
40	0.5085915135
41	0.5075129108
42	0.5035037954
43	0.5024619122
44	0.5002693775
45	0.4993777694
46	0.4977170888
47	0.4956618793
48	0.4938096543
49	0.4926265851
50	0.4897773046
51	0.4883944552
52	0.4861853757
53	0.4851819672
54	0.4837655574
55	0.4821617379
56	0.4794637392
57	0.47857363
58	0.4764067768
59	0.4749713576
60	0.4738428155
61	0.4730275825
62	0.4718229712
63	0.4703181777
64	0.4692597546
65	0.4684055848
66	0.4677033089
67	0.4670337379
68	0.4649053057
69	0.4640943675
70	0.4616470314
71	0.4609904807
72	0.4589384752
73	0.458311635
74	0.4571095446
75	0.4563503146
76	0.4557598696
77	0.455156416
78	0.4546015514
79	0.4533852532
80	0.4527638569
81	0.4521976585
82	0.451667807
83	0.4491405013
84	0.4477411795
85	0.4469623104
86	0.4464986961
87	0.4459465567
88	0.4454040901
89	0.4447023268
90	0.4442907546
91	0.4437787899
92	0.44320164
93	0.4426046764
94	0.4410823701
95	0.4399652714
96	0.4394194278
97	0.4391197377
98	0.4381214518
99	0.4368655687
100	0.4360781431
101	0.4349642077
102	0.4345353031
103	0.4339958126
104	0.4329539982
105	0.4316062054
106	0.4306785292
107	0.4303813533
108	0.4299979681
109	0.4293075731
110	0.4289679915
111	0.4275622333
112	0.4265497231
113	0.4261052908
114	0.425281903
115	0.4248903113
116	0.4241264336
117	0.4238146346
118	0.4234478872
119	0.422986961
120	0.4226343482
121	0.4222803683
122	0.4217457759
123	0.4212902346
124	0.4207967622
125	0.4204216216
126	0.4199812408
127	0.419539205
128	0.4192528888
129	0.4190148553
130	0.4186468909
131	0.4182619229
132	0.417909044
133	0.4176450168
134	0.4170052856
135	0.4165918662
136	0.4162661294
137	0.4159510886
138	0.4155754193
139	0.4152356541
140	0.4145302912
141	0.414270744
142	0.4139451596
143	0.4136427914
144	0.4128981366
145	0.4122776101
146	0.411949397
147	0.4115935745
148	0.4112548895
149	0.4110242514
150	0.4107983032
151	0.4104592519
152	0.4101826012
153	0.4098666246
154	0.4095987779
155	0.4092502933
156	0.4089457703
157	0.408703962
158	0.4085227484
159	0.4082459062
160	0.4073643492
161	0.4069774797
162	0.4063622076
163	0.4059974033
164	0.4056540581
165	0.4053728402
166	0.4050730347
167	0.4047529811
168	0.4041656402
169	0.4038731643
170	0.4036035679
171	0.4032419542
172	0.4030114697
173	0.4028218195
174	0.4024832746
175	0.4022594009
176	0.4019972685
177	0.4016281653
178	0.4013612185
